Wall time,Step,Value
1621411868.83988,8900,8.7940767116379E-05
1621412005.65607,9000,0.000128028128529
1621412145.401,9100,6.96326678735204E-05
1621412282.91791,9200,6.9821355282329E-05
1621412422.23499,9300,0.000105133971374
1621412561.35958,9400,0.000104335209471
1621412702.13415,9500,7.84748117439449E-05
1621412842.77901,9600,8.81540181580931E-05
1621412983.62131,9700,8.17707987152971E-05
1621413123.67716,9800,8.83347020135261E-05
1621413261.9447,9900,8.09752527857199E-05
1621413400.25751,10000,8.82957901922055E-05
1621414027.90213,10100,9.43603590712883E-05
1621414163.7035,10200,7.8382516221609E-05
1621414300.55919,10300,8.90899391379207E-05
1621414437.3587,10400,6.74481925670989E-05
1621414573.95875,10500,8.81596861290745E-05
1621414709.17463,10600,6.46769476588816E-05
1621414845.4742,10700,7.56091394578107E-05
1621414981.86041,10800,8.41900036903098E-05
1621415117.4059,10900,9.39727469813079E-05
1621415253.63977,11000,7.0256573962979E-05
1621415391.07213,11100,6.98246221872978E-05
1621415527.36576,11200,5.70450538361911E-05
1621415664.22769,11300,9.84392463578843E-05
1621415799.37672,11400,7.02775796526112E-05
1621415938.01627,11500,8.54384925332852E-05
1621416075.7077,11600,7.92636928963475E-05
1621416214.99701,11700,5.97212419961579E-05
1621416352.26567,11800,7.13833505869843E-05
1621416492.03902,11900,5.98948208789807E-05
1621416630.64264,12000,6.85161867295392E-05
1621416770.8238,12100,6.74328694003634E-05
1621416908.43608,12200,6.09752678428777E-05
1621417045.95182,12300,6.38181954855099E-05
1621417183.44623,12400,7.55459623178467E-05
1621417322.16348,12500,7.09577798261307E-05
1621417460.72887,12600,6.43685198156163E-05
1621417599.32114,12700,6.07173715252429E-05
1621417737.06827,12800,6.50331930955872E-05
1621417876.31549,12900,7.01273893355392E-05
1621418014.41556,13000,6.50958245387301E-05
1621418153.28021,13100,6.53699971735477E-05
1621418290.82368,13200,6.49251815048046E-05
1621418430.70395,13300,7.96397507656366E-05
1621418570.82581,13400,6.22543593635783E-05
1621418710.25371,13500,5.60412372578867E-05
1621418848.81844,13600,4.51613086625002E-05
1621418988.19954,13700,5.93676304561086E-05
1621419127.79609,13800,6.86990679241717E-05
1621419267.93677,13900,5.4329531849362E-05
1621419406.93906,14000,8.04975861683488E-05
1621419547.41468,14100,4.07277802878525E-05
1621419691.34022,14200,3.75392191926949E-05
1621419832.75748,14300,6.71792367938906E-05
1621419971.81772,14400,6.61833182675764E-05
1621420110.88525,14500,4.70072627649643E-05
1621420251.08083,14600,5.45741495443508E-05
1621420388.71775,14700,5.12549922859762E-05
1621420526.43459,14800,5.58399733563419E-05
1621420665.39489,14900,5.65883201488759E-05
1621420805.81358,15000,5.84400695515797E-05
1621421743.414,15100,6.2660503317602E-05
1621421868.50674,15200,4.98613990203012E-05
1621421993.54923,15300,6.08476002526004E-05
1621422117.22478,15400,4.49510480393656E-05
1621422242.80872,15500,6.21691142441705E-05
1621422366.34438,15600,4.11637956858613E-05
1621422490.62117,15700,5.2320599934319E-05
1621422614.67746,15800,5.80003543291241E-05
1621422740.69347,15900,6.88994696247391E-05
1621422868.55306,16000,4.60723967989907E-05
1621422995.84298,16100,4.67589161416981E-05
1621423120.88982,16200,3.96004506910685E-05
1621423245.68877,16300,6.75165501888841E-05
1621423370.34339,16400,4.97481269121636E-05
1621423494.95771,16500,6.0601691075135E-05
1621423618.74858,16600,5.66414346394595E-05
1621423741.89315,16700,4.17431874666363E-05
1621423864.87763,16800,5.09092496940866E-05
1621423987.97522,16900,3.99517739424482E-05
1621424110.91502,17000,4.60667579318397E-05
1621424235.30786,17100,5.19326240464579E-05
1621424358.56913,17200,4.30161817348562E-05
1621424483.77877,17300,4.61275485577062E-05
1621424608.75002,17400,5.55459337192588E-05
1621424732.93394,17500,5.06045107613318E-05
1621424856.64195,17600,4.94288178742863E-05
1621424980.40604,17700,4.5262433559401E-05
1621425103.97986,17800,4.39481300418265E-05
1621425227.8239,17900,5.02404327562545E-05
1621425351.7487,18000,4.52729909738991E-05
1621425477.21583,18100,4.73081308882684E-05
1621425601.25871,18200,5.11593570990954E-05
1621425726.02026,18300,5.82563261559699E-05
1621425850.24941,18400,4.67418722109869E-05
1621425973.94598,18500,4.17196279158816E-05
1621426098.01051,18600,3.38874888257123E-05
1621426223.09254,18700,4.57674395875074E-05
1621426348.11767,18800,5.22281843586825E-05
1621426473.32914,18900,4.26140431954991E-05
1621426597.88619,19000,6.16547476965934E-05
1621426723.55002,19100,2.98386530630523E-05
1621426847.72646,19200,2.84839152300265E-05
1621426972.37561,19300,5.3256666433299E-05
1621427096.75515,19400,5.06823489558883E-05
1621478183.94653,19100,5.0835657020798E-05
1621478312.05499,19200,3.91380272048991E-05
1621478440.26089,19300,5.02076400152873E-05
1621478565.98385,19400,3.49471520166844E-05
1621478693.29345,19500,5.11305042891763E-05
1621478818.44418,19600,3.30891343764961E-05
1621478944.16083,19700,4.34195681009442E-05
1621479071.9239,19800,4.74476692033932E-05
1621479197.28581,19900,5.7858123909682E-05
1621479322.31553,20000,3.73944640159607E-05
1621479449.11585,20100,3.82097641704604E-05
1621479574.88956,20200,3.25457986036781E-05
1621479703.69348,20300,5.39914035471156E-05
1621479829.35544,20400,3.77826327166986E-05
1621479955.52946,20500,4.98148801852949E-05
1621480080.83235,20600,4.5645676436834E-05
1621480206.72945,20700,3.3702814107528E-05
1621480332.62131,20800,4.28787498094607E-05
1621480461.00994,20900,3.15186698571779E-05
1621480589.5805,21000,3.64266088581644E-05
1621480719.44675,21100,4.44989927927963E-05
1621480847.49495,21200,3.48190042132046E-05
1621480975.96918,21300,3.74119372281711E-05
1621481103.9882,21400,4.58995746157598E-05
1621481232.78351,21500,4.03518351959065E-05
1621481361.25959,21600,4.16984184994362E-05
1621481490.65261,21700,3.7519301258726E-05
1621481619.24292,21800,3.40570586558897E-05
1621481747.77035,21900,4.11999862990342E-05
1621481876.15556,22000,3.64847546734382E-05
1621482005.99144,22100,3.78917575289961E-05
1621482134.61176,22200,4.41597185272258E-05
1621482263.35281,22300,4.6467346692225E-05
1621482391.58564,22400,3.98524935008027E-05
1621482520.40127,22500,3.47016684827395E-05
1621482648.81457,22600,2.9249997169245E-05
1621482777.79021,22700,3.91492540074978E-05
1621482906.42002,22800,4.39191135228612E-05
1621483034.41062,22900,3.60794365406036E-05
1621483162.14529,23000,5.27279225934763E-05
1621483291.22758,23100,2.34268991334829E-05
1621483418.97151,23200,2.46430354309268E-05
1621483546.77904,23300,4.57659807580058E-05
1621483674.4083,23400,4.27315790147986E-05
1621483801.16555,23500,2.85117257590173E-05
1621483927.95981,23600,3.49243091477547E-05
1621484055.24764,23700,3.13259042741265E-05
1621484183.79387,23800,3.66245512850583E-05
1621484312.99844,23900,3.83890946977772E-05
1621484442.10529,24000,3.97191688534804E-05
1621490647.95748,24100,4.18782328779344E-05
1621490775.78992,24200,3.08718917949591E-05
1621490904.07784,24300,4.06118306273129E-05
1621491032.09848,24400,2.65211201622151E-05
1621491160.94657,24500,4.1158200474456E-05
1621491289.95959,24600,2.5692701456137E-05
1621491418.92362,24700,3.57884237018879E-05
1621491547.37845,24800,3.87129148293752E-05
1621491675.75136,24900,4.8681100452086E-05
1621491803.30727,25000,2.9709024602198E-05
1621491931.93158,25100,3.11534458887763E-05
1621492060.49738,25200,2.67851464741398E-05
1621492188.78194,25300,4.35536712757312E-05
